LEANM,SEARCH PARAMS,URL,WGET INDEX,ADDRESS,SCHOOL ID,RDM #,WAYBACK URL,LEVEL,SURVYEAR,NCESSCH,FIPST,LEAID,SCHNO,STID,SEASCH,LEANM,SCHNAM,PHONE,MSTREE,MCITY,MSTATE,MZIP,MZIP4,LSTREE,LCITY,LSTATE,LZIP,LZIP4,TYPE,STATUS,UNION,ULOCAL,LATCOD,LONCOD,CONUM,CONAME,CDCODE,BIES,RECONSTY,RECONSTF,SMEMPUP,ISMEMPUP,SFTEPUP,ISFTEPUP,SFLE,ISFLE,SPFEMALE,ISPFEMALE,SPWHITE,ISPWHITE,SPELM,ISPELM,FTE,GSLO,GSHI,PKOFFRD,KGOFFRD,G01OFFRD,G02OFFRD,G03OFFRD,G04OFFRD,G05OFFRD,G06OFFRD,G07OFFRD,G08OFFRD,G09OFFRD,G10OFFRD,G11OFFRD,G12OFFRD,UGOFFRD,LEVEL,TITLEISTAT,TITLEI,STITLI,MAGNET,CHARTR,SHARED,FRELCH,REDLCH,TOTFRL,PK,AMPKM,AMPKF,ASPKM,ASPKF,HIPKM,HIPKF,BLPKM,BLPKF,WHPKM,WHPKF,HPPKM,HPPKF,TRPKM,TRPKF,KG,AMKGM,AMKGF,ASKGM,ASKGF,HIKGM,HIKGF,BLKGM,BLKGF,WHKGM,WHKGF,HPKGM,HPKGF,TRKGM,TRKGF,G01,AM01M,AM01F,AS01M,AS01F,HI01M,HI01F,BL01M,BL01F,WH01M,WH01F,HP01M,HP01F,TR01M,TR01F,G02,AM02M,AM02F,AS02M,AS02F,HI02M,HI02F,BL02M,BL02F,WH02M,WH02F,HP02M,HP02F,TR02M,TR02F,G03,AM03M,AM03F,AS03M,AS03F,HI03M,HI03F,BL03M,BL03F,WH03M,WH03F,HP03M,HP03F,TR03M,TR03F,G04,AM04M,AM04F,AS04M,AS04F,HI04M,HI04F,BL04M,BL04F,WH04M,WH04F,HP04M,HP04F,TR04M,TR04F,G05,AM05M,AM05F,AS05M,AS05F,HI05M,HI05F,BL05M,BL05F,WH05M,WH05F,HP05M,HP05F,TR05M,TR05F,G06,AM06M,AM06F,AS06M,AS06F,HI06M,HI06F,BL06M,BL06F,WH06M,WH06F,HP06M,HP06F,TR06M,TR06F,G07,AM07M,AM07F,AS07M,AS07F,HI07M,HI07F,BL07M,BL07F,WH07M,WH07F,HP07M,HP07F,TR07M,TR07F,G08,AM08M,AM08F,AS08M,AS08F,HI08M,HI08F,BL08M,BL08F,WH08M,WH08F,HP08M,HP08F,TR08M,TR08F,G09,AM09M,AM09F,AS09M,AS09F,HI09M,HI09F,BL09M,BL09F,WH09M,WH09F,HP09M,HP09F,TR09M,TR09F,G10,AM10M,AM10F,AS10M,AS10F,HI10M,HI10F,BL10M,BL10F,WH10M,WH10F,HP10M,HP10F,TR10M,TR10F,G11,AM11M,AM11F,AS11M,AS11F,HI11M,HI11F,BL11M,BL11F,WH11M,WH11F,HP11M,HP11F,TR11M,TR11F,G12,AM12M,AM12F,AS12M,AS12F,HI12M,HI12F,BL12M,BL12F,WH12M,WH12F,HP12M,HP12F,TR12M,TR12F,UG,AMUGM,AMUGF,ASUGM,ASUGF,HIUGM,HIUGF,BLUGM,BLUGF,WHUGM,WHUGF,HPUGM,HPUGF,TRUGM,TRUGF,MEMBER,AM,AMALM,AMALF,ASIAN,ASALM,ASALF,HISP,HIALM,HIALF,BLACK,BLALM,BLALF,WHITE,WHALM,WHALF,PACIFIC,HPALM,HPALF,TR,TRALM,TRALF,TOTETH,VIRTUALSTAT,NSLPSTATUS,CHARTAUTH1,CHARTAUTH2
ESCAMBIA,"BYRNEVILLE ELEMENTARY SCHOOL, INC. 1600 BYRNEVILLE RD, CENTURY, FL",https://byrnes-ecsd-fl.schoolloop.com/,11,"1600 BYRNEVILLE RD, CENTURY, FL",FL2106,0.928566231,https://web.archive.org/web/*/https://byrnes-ecsd-fl.schoolloop.com/,1,2013,1.20E+11,12,1200510,3847,17,2106,ESCAMBIA,"BYRNEVILLE ELEMENTARY SCHOOL, INC.",8502566350,1600 BYRNEVILLE RD,CENTURY,FL,32535,3640,1600 BYRNEVILLE RD,CENTURY,FL,32535,3640,1,1,0,41,30.9641,-87.3266,12033,ESCAMBIA COUNTY,1201,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,12,KG,5,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,5,1,1,2,1,2,104,17,121,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,35,0,0,0,0,1,0,0,4,15,11,0,0,1,3,42,0,1,0,0,0,0,4,4,21,11,0,0,0,1,27,0,0,0,0,0,0,1,3,15,5,0,0,1,2,32,1,0,0,0,1,0,2,2,12,10,0,0,1,3,21,3,0,0,0,0,0,1,0,9,8,0,0,0,0,18,2,0,0,0,1,0,1,2,7,5,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,175,7,6,1,0,0,0,3,3,0,24,9,15,129,79,50,0,0,0,12,3,9,175,VIRTUALNO,NSLPWOPRO,1200510,M
NEW JERUSALEM ELEMENTARY,"ACACIA MIDDLE CHARTER 703 EAST SWAIN RD, STOCKTON, CA",https://acaciamiddle.org/,12,"703 EAST SWAIN RD, STOCKTON, CA",CA128546,0.170968733,https://web.archive.org/web/*/https://acaciamiddle.org/,2,2013,62703013727,6,627030,13727,3968627,128546,NEW JERUSALEM ELEMENTARY,ACACIA MIDDLE CHARTER,2094777014,3252 CONSTITUTION DR.,LIVERMORE,CA,94551,0,703 EAST SWAIN RD,STOCKTON,CA,95207,0,1,3,0,11,38.0097,-121.3017,6077,SAN JOAQUIN COUNTY,609,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,2.25,6,8,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,M,M,M,M,1,M,23,2,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,17,0,0,1,0,8,4,2,2,0,0,0,0,0,0,5,0,0,0,0,2,0,1,0,1,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,0,0,0,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,28,0,0,0,1,1,0,19,11,8,5,3,2,1,1,0,0,0,0,2,1,1,28,N,NSLPNO,627030,M
MILWAUKEE SCHOOL DISTRICT,"WHITTIER ELEMENTARY 4382 SOUTH 3RD ST, MILWAUKEE, WI",http://www2.milwaukee.k12.wi.us/whittier/whittier.htm,13,"4382 SOUTH 3RD ST, MILWAUKEE, WI",WI398,0.077108746,https://web.archive.org/web/*/http://www2.milwaukee.k12.wi.us/whittier/whittier.htm,1,2013,5.51E+11,55,5509600,1271,3619,398,MILWAUKEE SCHOOL DISTRICT,WHITTIER ELEMENTARY,4142941400,4382 S 3RD ST,MILWAUKEE,WI,53207,4968,4382 SOUTH 3RD ST,MILWAUKEE,WI,53207,4968,1,1,0,11,42.9644,-87.9128,55079,MILWAUKEE COUNTY,5504,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,8.41,PK,5,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,61,8,69,37,0,0,1,0,2,5,2,1,12,14,0,0,0,0,36,0,0,1,0,5,2,0,3,12,13,0,0,0,0,26,1,0,0,1,1,4,1,2,7,9,0,0,0,0,31,0,0,2,0,1,3,1,3,10,11,0,0,0,0,27,0,0,0,0,5,2,3,0,11,6,0,0,0,0,23,0,0,0,1,3,3,1,1,6,7,0,0,0,1,21,0,0,2,0,2,3,2,1,6,5,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,201,1,1,0,8,6,2,41,19,22,21,10,11,129,64,65,0,0,0,1,0,1,201,VIRTUALNO,NSLPWOPRO,3619,M
ZOE LEARNING ACADEMY,"ZOE LEARNING ACAD - AMBASSADOR CAMPUS 515 WEST CTR ST, DUNCANVILLE, TX",http://www.zoelearningacademy.org/,14,"515 WEST CTR ST, DUNCANVILLE, TX",TX101850102,0.359459313,https://web.archive.org/web/*/http://www.zoelearningacademy.org/,1,2013,4.80E+11,48,4800193,10717,101850,101850102,ZOE LEARNING ACADEMY,ZOE LEARNING ACAD - AMBASSADOR CAMPUS,9722963335,6701 CULLEN BLVD,HOUSTON,TX,77021,0,515 WEST CTR ST,DUNCANVILLE,TX,75116,0,1,1,0,21,32.6525,-96.9208,48113,DALLAS COUNTY,4830,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,11,PK,7,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,5,1,1,2,1,M,147,18,165,27,0,0,0,0,1,2,12,12,0,0,0,0,0,0,17,0,0,0,0,3,0,5,9,0,0,0,0,0,0,18,0,0,0,0,0,1,7,10,0,0,0,0,0,0,26,0,0,0,0,2,1,8,15,0,0,0,0,0,0,26,0,0,0,0,1,0,14,10,0,0,0,0,1,0,16,0,0,0,0,3,0,8,5,0,0,0,0,0,0,17,0,0,0,0,2,0,11,4,0,0,0,0,0,0,18,0,0,0,0,1,2,7,8,0,0,0,0,0,0,9,0,0,0,0,1,1,3,4,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,174,0,0,0,0,0,0,21,14,7,152,75,77,0,0,0,0,0,0,1,1,0,174,N,M,1,M
CITY OF CHICAGO SD 299,"YOUNG WOMENS LEADERSHIP CHARTR HS 2641 SOUTH CALUMET AVE, CHICAGO, IL",http://www.ywlcs.org/,15,"2641 SOUTH CALUMET AVE, CHICAGO, IL",IL150162990007C,0.466414056,https://web.archive.org/web/*/http://www.ywlcs.org/,3,2013,1.71E+11,17,1709930,3981,15-016-2990-25,150162990007C,CITY OF CHICAGO SD 299,YOUNG WOMENS LEADERSHIP CHARTR HS,3129499400,2641 S CALUMET AVE,CHICAGO,IL,60616,2901,2641 SOUTH CALUMET AVE,CHICAGO,IL,60616,2901,1,1,0,11,41.8444,-87.6185,17031,COOK COUNTY,1707,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,12,7,12,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,3,5,1,1,2,1,2,280,0,280,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,43,0,0,0,0,0,2,0,37,0,0,0,0,0,4,46,0,0,0,0,0,2,0,41,0,0,0,0,0,3,78,0,0,0,0,0,5,0,69,0,1,0,0,0,3,65,0,0,0,0,0,4,0,56,0,1,0,0,0,4,52,0,1,0,0,0,3,0,44,0,2,0,0,0,2,44,0,1,0,0,0,3,0,27,0,7,0,0,0,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,328,2,0,2,0,0,0,19,0,19,274,0,274,11,0,11,0,0,0,22,0,22,328,VIRTUALNO,M,15-016-2990-25,M
YUBA COUNTY OFFICE OF EDUCATION,"YUBA COUNTY CAREER PREPARATORY CHARTER 1104 EAST ST, MARYSVILLE, CA",http://www.yuba.net/,16,"1104 EAST ST, MARYSVILLE, CA",CA5830112,0.931742099,https://web.archive.org/web/*/http://www.yuba.net/,4,2013,69104805572,6,691048,5572,5810587,5830112,YUBA COUNTY OFFICE OF EDUCATION,YUBA COUNTY CAREER PREPARATORY CHARTER,5307494000,1104 E ST.,MARYSVILLE,CA,95901,4149,1104 EAST ST,MARYSVILLE,CA,95901,4149,1,1,0,22,39.1471,-121.592,6115,YUBA COUNTY,603,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,14.6,KG,12,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,M,M,M,2,1,M,146,4,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,2,0,1,3,2,0,0,0,0,9,0,0,0,0,1,1,0,0,5,1,0,1,0,0,21,0,1,0,0,6,4,1,1,4,3,0,1,0,0,37,1,2,0,0,4,8,0,0,14,8,0,0,0,0,77,3,0,0,0,12,14,4,1,23,17,1,0,0,2,112,1,4,1,1,13,19,1,0,34,32,0,0,2,4,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,271,12,5,7,2,1,1,88,38,50,9,6,3,149,84,65,3,1,2,8,2,6,271,N,NSLPNO,691048,M
YOUNG SCHOLARS OF WESTERN PENNSYLVANIA CS,"YOUNG SCHOLARS OF WESTERN PENNSYLVANIA C 600 NEWPORT DR, BALDWIN TOWNSHIP, PA",http://www.ysacs.org/,17,"600 NEWPORT DR, BALDWIN TOWNSHIP, PA",PA8156,0.29871685,https://web.archive.org/web/*/http://www.ysacs.org/,1,2013,4.20E+11,42,4200845,7424,103025206,8156,YOUNG SCHOLARS OF WESTERN PENNSYLVANIA CS,YOUNG SCHOLARS OF WESTERN PENNSYLVANIA C,4126682064,600 NEWPORT DRIVE,BALDWIN TOWNSHIP,PA,15234,0,600 NEWPORT DR,BALDWIN TOWNSHIP,PA,15234,0,1,1,0,21,40.3764,-80.0184,42003,ALLEGHENY COUNTY,4214,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,17.2,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,1,1,2,1,2,123,17,140,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,41,0,0,0,0,1,0,8,4,11,14,0,1,0,2,41,0,0,1,0,0,0,5,4,16,10,1,0,1,3,42,0,0,0,0,0,0,1,10,11,18,0,0,1,1,21,0,0,0,1,1,0,0,1,8,8,0,0,1,1,22,0,0,0,0,1,0,2,2,11,6,0,0,0,0,20,0,0,0,0,2,0,0,3,6,7,0,0,1,1,22,0,0,0,1,0,1,2,2,6,9,0,0,1,0,21,0,0,0,0,0,1,2,4,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,230,0,0,0,3,1,2,7,5,2,50,20,30,154,75,79,2,1,1,14,5,9,230,VIRTUALNO,NSLPNO,103021102,M
WEST PHILA. ACHIEVEMENT CES,"WEST PHILA. ACHIEVEMENT CES 6701 CALLOWHILL ST, PHILADELPHIA, PA",http://www.wpaces.org/,18,"6701 CALLOWHILL ST, PHILADELPHIA, PA",PA7722,0.116356947,https://web.archive.org/web/*/http://www.wpaces.org/,1,2013,4.20E+11,42,4200105,657,126510006,7722,WEST PHILA. ACHIEVEMENT CES,WEST PHILA. ACHIEVEMENT CES,2154766471,6701 CALLOWHILL STREET,PHILADELPHIA,PA,19151,0,6701 CALLOWHILL ST,PHILADELPHIA,PA,19151,0,1,1,0,11,39.9704,-75.2541,42101,PHILADELPHIA COUNTY,4201,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,32,KG,5,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,5,1,1,2,1,2,585,37,622,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,138,0,0,0,0,0,0,70,68,0,0,0,0,0,0,131,0,0,0,0,0,0,67,62,0,0,0,1,0,1,115,0,0,1,0,1,0,57,56,0,0,0,0,0,0,108,0,0,0,0,0,1,42,65,0,0,0,0,0,0,100,0,0,0,0,0,0,44,56,0,0,0,0,0,0,72,0,0,1,0,0,1,34,36,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,664,0,0,0,2,2,0,3,1,2,657,314,343,0,0,0,1,0,1,1,0,1,664,VIRTUALNO,NSLPNO,126515001,M
JOHN H WOOD JR PUBLIC CHARTER DISTRICT,"JOHN H WOOD JR CS GRANBURY 1300 CROSSLAND RD, GRANBURY, TX",http://www.woodcharter.com/Granbury/,19,"1300 CROSSLAND RD, GRANBURY, TX",TX15808006,0.629786096,https://web.archive.org/web/*/http://www.woodcharter.com/Granbury,4,2013,4.80E+11,48,4800053,11906,15808,15808006,JOHN H WOOD JR PUBLIC CHARTER DISTRICT,JOHN H WOOD JR CS GRANBURY,2106385600,1300 CROSSLAND RD,GRANBURY,TX,76048,0,1300 CROSSLAND RD,GRANBURY,TX,76048,0,4,1,0,41,32.4475,-97.8026,48221,HOOD COUNTY,4811,2,2010,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,7,4,12,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,4,5,1,1,2,1,M,59,0,59,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,2,0,0,2,2,0,0,0,0,30,0,0,0,0,12,4,3,1,5,3,0,0,2,0,18,0,0,0,0,6,1,4,1,2,4,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,62,0,0,0,0,0,0,27,20,7,9,7,2,23,13,10,0,0,0,3,3,0,62,N,M,1,M
PAINTED PONY RANCH CHARTER SCHOOL,"WILLOW CREEK CHARTER SCHOOL 2100 WILLOW CREEK RD, PRESCOTT, AZ",http://www.willowcreekcharter.com/,20,"2100 WILLOW CREEK RD, PRESCOTT, AZ",AZ78815,0.878124217,https://web.archive.org/web/*/http://www.willowcreekcharter.com/,1,2013,40021001974,4,400210,1974,10967,78815,PAINTED PONY RANCH CHARTER SCHOOL,WILLOW CREEK CHARTER SCHOOL,9287761212,2100 WILLOW CREEK RD,PRESCOTT,AZ,86301,0,2100 WILLOW CREEK RD,PRESCOTT,AZ,86301,0,1,1,0,13,34.579,-112.4832,4025,YAVAPAI COUNTY,404,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,-1,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,6,2,N,2,1,2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,14,0,0,0,0,1,0,0,0,6,6,0,0,1,0,13,0,0,0,0,2,0,1,0,5,4,0,0,0,1,18,0,0,0,0,1,1,0,0,6,10,0,0,0,0,10,0,0,0,0,2,2,0,0,2,3,0,0,0,1,9,0,0,0,0,1,0,0,0,4,3,0,0,0,1,8,0,0,0,0,0,0,0,1,4,2,0,0,0,1,17,0,0,0,0,0,2,0,0,4,9,1,0,0,1,10,0,0,0,0,1,1,0,0,3,4,0,0,1,0,10,0,0,0,0,0,0,0,1,5,3,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,109,0,0,0,0,0,0,14,8,6,3,1,2,83,39,44,2,1,1,7,2,5,109,VIRTUALNO,NSLPNO,10500,M
WHITE PINE ACADEMY,"WHITE PINE ACADEMY 510 RUSSELL ST, LESLIE, MI",http://www.whitepineacademy.com/,21,"510 RUSSELL ST, LESLIE, MI",MI8700,0.934704305,https://web.archive.org/web/*/http://www.whitepineacademy.com/,1,2013,2.60E+11,26,2600200,1111,33906,8700,WHITE PINE ACADEMY,WHITE PINE ACADEMY,5175898961,510 RUSSELL ST,LESLIE,MI,49251,9478,510 RUSSELL ST,LESLIE,MI,49251,9478,1,1,0,41,42.4503,-84.4353,26065,INGHAM COUNTY,2608,2,N,2,2,PS,2,PS,2,PS,2,PS,2,PS,2,PS,10,KG,8,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,5,1,1,1,1,2,32,10,42,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,14,0,0,0,0,2,1,0,0,8,3,0,0,0,0,12,0,0,0,0,1,1,0,0,2,7,0,0,1,0,15,0,0,0,0,0,1,0,0,8,6,0,0,0,0,15,0,0,0,0,1,0,0,0,6,7,0,0,0,1,9,0,0,0,0,0,0,0,0,4,5,0,0,0,0,8,0,0,0,0,0,0,0,0,4,4,0,0,0,0,20,0,0,0,0,0,0,0,0,14,5,0,0,0,1,6,0,0,0,0,1,0,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,1,4,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,8,5,3,0,0,0,93,50,43,0,0,0,3,1,2,104,VIRTUALNO,NSLPWOPRO,2314,M
